     [00]part_tag         [01]time         [02]posx         [03]posy         [04]posz         [05]velx         [06]vely         [07]velz       [08]accelx       [09]accely       [10]accelz        [11]anglx        [12]angly        [13]anglz         [14]mass         [15]mdot        [16]ptime
            65540  4.006556283E+13 -7.568028885E+18  9.599785080E+18 -4.234580904E+17 -1.674506485E+04  3.402074221E+04  3.665807599E+04  7.808857114E-09 -9.984642454E-10 -3.470719477E-09 -4.645666330E+52 -1.665545365E+53 -9.709462830E+51  7.690927192E+32  2.106846038E+21  3.846318013E+13
            65540  4.008812925E+13 -7.568207594E+18  9.600434014E+18 -4.227632527E+17 -1.683662134E+04  3.412890861E+04  3.687710986E+04  1.536804251E-09  4.644615987E-10  2.136623140E-09 -4.896044215E+52 -1.742963800E+53 -1.149244597E+52  8.163122954E+32  2.092471076E+21  3.846318013E+13
            65540  4.013378596E+13 -7.568538410E+18  9.601743752E+18 -4.213956457E+17 -1.622542158E+04  3.423157719E+04  3.690797218E+04  7.928653683E-09 -8.861062292E-10 -3.287827668E-09 -5.486210799E+52 -1.900237529E+53 -1.473042567E+52  9.124672460E+32  2.106041798E+21  3.846318013E+13
            65540  4.015656730E+13 -7.568736759E+18  9.602422227E+18 -4.206815255E+17 -1.631394328E+04  3.433477948E+04  3.713241761E+04  1.424841610E-09  7.953421595E-10  2.383713851E-09 -5.782794314E+52 -1.977997855E+53 -1.643727433E+52  9.599572476E+32  2.084600940E+21  3.846318013E+13
            65540  4.020284330E+13 -7.569108363E+18  9.603825282E+18 -4.192404458E+17 -1.565824951E+04  3.440050793E+04  3.714981160E+04  8.137124447E-09 -8.068625243E-10 -3.129052621E-09 -6.467931776E+52 -2.134314558E+53 -1.964004937E+52  1.056239579E+33  2.080610710E+21  3.846318013E+13
            65540  4.022578024E+13 -7.569314343E+18  9.604544709E+18 -4.184994615E+17 -1.575060978E+04  3.448880550E+04  3.737074733E+04  1.321271116E-09  1.114210419E-09  2.622452074E-09 -6.805778206E+52 -2.210771465E+53 -2.133768516E+52  1.103479321E+33  2.059548532E+21  3.846318013E+13
            65540  4.027326839E+13 -7.569708805E+18  9.606074411E+18 -4.169502154E+17 -1.504858912E+04  3.450544244E+04  3.735547805E+04  8.449588650E-09 -7.671173031E-10 -3.004545597E-09 -7.575335636E+52 -2.365324446E+53 -2.464641237E+52  1.200201211E+33  2.036758555E+21  3.846318013E+13
            65540  4.029645495E+13 -7.569914649E+18  9.606833136E+18 -4.161654098E+17 -1.515048375E+04  3.458336592E+04  3.755949832E+04  1.215751346E-09  1.408960124E-09  2.844145903E-09 -7.952932643E+52 -2.439530946E+53 -2.631958941E+52  1.246998173E+33  2.018279739E+21  3.846318013E+13
            65540  4.034570211E+13 -7.570322711E+18  9.608497861E+18 -4.144599499E+17 -1.438444548E+04  3.455996333E+04  3.748142566E+04  8.894779552E-09 -7.662111824E-10 -2.921308376E-09 -8.798829538E+52 -2.590491385E+53 -2.965015620E+52  1.344148173E+33  1.972702493E+21  3.846318013E+13
            65540  4.036948086E+13 -7.570537565E+18  9.609308758E+18 -4.136159792E+17 -1.449312602E+04  3.463082176E+04  3.766894999E+04  1.102533888E-09  1.684630869E-09  3.034027132E-09 -9.207986207E+52 -2.661791584E+53 -3.122512623E+52  1.390467067E+33  1.947911180E+21  3.846318013E+13
            65540  4.042123938E+13 -7.570954462E+18  9.611261370E+18 -4.117323148E+17 -1.363578836E+04  3.450814442E+04  3.757931800E+04  9.519461814E-09 -8.007068534E-10 -2.887247199E-09 -9.636903707E+52 -2.822621210E+53 -3.448308204E+52  1.495095831E+33  2.021479059E+21  3.846318013E+13
            65540  4.044585378E+13 -7.571163812E+18  9.612226071E+18 -4.108188949E+17 -1.376371592E+04  3.452647167E+04  3.779090091E+04  9.752169390E-10  1.875722460E-09  3.195359206E-09 -9.697157212E+52 -2.901106562E+53 -3.589887547E+52  1.546206594E+33  2.076457637E+21  3.846318013E+13
            65540  4.049961417E+13 -7.570159397E+18  9.615890529E+18 -4.089271666E+17 -1.550307411E+04  3.405810349E+04  3.952605335E+04  2.979978563E-09 -5.735607804E-10 -1.874520885E-09 -9.727696497E+52 -3.068998674E+53 -4.045850076E+52  2.237394550E+32  2.052502590E+21  3.846318013E+13
            65540  4.052720791E+13 -7.570308959E+18  9.617263351E+18 -4.078548004E+17 -1.593561670E+04  3.403607518E+04  4.006359866E+04  4.730280150E-10  1.443940719E-09  3.410188263E-09 -9.692580180E+52 -3.153769511E+53 -4.323601671E+52  2.795942369E+32  2.024183683E+21  3.846318013E+13
            65540  4.058253193E+13 -7.570751577E+18  9.619992736E+18 -4.047676473E+17 -1.629229585E+04  3.379620170E+04  3.966627672E+04  4.122012099E-09 -1.376234476E-09 -2.033446259E-09 -9.563836728E+52 -3.346082201E+53 -5.040235033E+52  3.940378308E+32  2.068605761E+21  3.846318013E+13
            65540  4.061141819E+13 -7.571022384E+18  9.621191857E+18 -4.032638555E+17 -1.663537726E+04  3.390566607E+04  3.971009229E+04  2.581131865E-10  1.295076198E-09  3.228886017E-09 -9.557590351E+52 -3.449813623E+53 -5.414777449E+52  4.541612068E+32  2.081382886E+21  3.846318013E+13
            65540  4.066698527E+13 -7.571848975E+18  9.623633642E+18 -4.006771494E+17 -1.642163287E+04  3.382534191E+04  3.937380375E+04  5.686155452E-09 -1.822633295E-09 -2.633910528E-09 -9.899992372E+52 -3.680661314E+53 -6.182980812E+52  5.754426165E+32  2.182612722E+21  3.846318013E+13
            65540  4.069370476E+13 -7.572297960E+18  9.624797767E+18 -3.994931928E+17 -1.660495653E+04  3.390792214E+04  3.945830405E+04  1.459210896E-10  1.351730008E-09  3.075526402E-09 -1.008335598E+53 -3.795349341E+53 -6.587232509E+52  6.327900504E+32  2.146277098E+21  3.846318013E+13
            65540  4.074858203E+13 -7.573301240E+18  9.626970429E+18 -3.969075191E+17 -1.610209959E+04  3.391749625E+04  3.897043075E+04  7.422900432E-09 -2.130221588E-09 -2.836833999E-09 -1.068291812E+53 -4.106232602E+53 -7.752498644E+52  7.545356669E+32  2.218507083E+21  3.846318013E+13
            65540  4.077560833E+13 -7.573797337E+18  9.628038914E+18 -3.956309205E+17 -1.630168184E+04  3.406933127E+04  3.896342226E+04  1.509483449E-10  1.485002595E-09  2.986760664E-09 -1.094644845E+53 -4.261046854E+53 -8.388867829E+52  8.123299648E+32  2.138446532E+21  3.846318013E+13
            65540  4.083018650E+13 -7.574599580E+18  9.630185539E+18 -3.930659868E+17 -1.566368155E+04  3.398326142E+04  3.844595989E+04  8.846105865E-09 -2.325599801E-09 -2.843501964E-09 -1.133041228E+53 -4.573142608E+53 -9.703407434E+52  9.294672123E+32  2.146229241E+21  3.846318013E+13
            65540  4.085825943E+13 -7.575024034E+18  9.631428554E+18 -3.916256469E+17 -1.592163660E+04  3.402319658E+04  3.835481120E+04  1.375130284E-10  1.649488102E-09  2.860943118E-09 -1.137864861E+53 -4.737714844E+53 -1.038720049E+53  9.896929208E+32  2.145329901E+21  3.846318013E+13
            65540  4.091563993E+13 -7.575807469E+18  9.633769813E+18 -3.889160948E+17 -1.522284989E+04  3.381262525E+04  3.784526666E+04  8.968462507E-09 -2.514603661E-09 -2.593263534E-09 -1.132683335E+53 -5.073126101E+53 -1.185778064E+53  1.114576396E+33  2.176409939E+21  3.846318013E+13
            65540  4.094386775E+13 -7.576250933E+18  9.634900717E+18 -3.876091513E+17 -1.542762043E+04  3.393369712E+04  3.785752757E+04  8.982267971E-11  1.692227088E-09  2.651247384E-09 -1.133118791E+53 -5.244132023E+53 -1.254285151E+53  1.175617391E+33  2.162440418E+21  3.846318013E+13
            65540  4.099497655E+13 -7.577133278E+18  9.636948570E+18 -3.852928735E+17 -1.469881239E+04  3.373478479E+04  3.748157569E+04  8.696163725E-09 -2.788898977E-09 -2.537194878E-09 -1.171712455E+53 -5.644374400E+53 -1.322937577E+53  1.295104994E+33  2.337906684E+21  3.846318013E+13
            65540  4.102118576E+13 -7.577608082E+18  9.637975325E+18 -3.841446273E+17 -1.486049882E+04  3.386943369E+04  3.755121632E+04  1.379476177E-10  1.784683553E-09  2.525265846E-09 -1.194042176E+53 -5.848220294E+53 -1.358535680E+53  1.355903883E+33  2.319752826E+21  3.846318013E+13
            65540  4.107455955E+13 -7.578702597E+18  9.640030444E+18 -3.819811410E+17 -1.417525963E+04  3.378979266E+04  3.734194407E+04  7.518787876E-09 -2.852752360E-09 -2.487946094E-09 -1.291538928E+53 -6.372041580E+53 -1.465883462E+53  1.489211112E+33  2.497616230E+21  3.846318013E+13
            65540  4.110034312E+13 -7.579225813E+18  9.641014742E+18 -3.809264404E+17 -1.429026158E+04  3.398299854E+04  3.744506055E+04  2.743494428E-10  1.927524364E-09  2.519035394E-09 -1.349601225E+53 -6.639875898E+53 -1.520349606E+53  1.554676745E+33  2.539043938E+21  3.846318013E+13
            65540  4.115347296E+13 -7.580262144E+18  9.642958709E+18 -3.789065541E+17 -1.375535823E+04  3.395752808E+04  3.737854648E+04  5.870584519E-09 -2.767746069E-09 -2.325940322E-09 -1.482968749E+53 -7.199236094E+53 -1.624813167E+53  1.691169911E+33  2.569048985E+21  3.846318013E+13
            65540  4.118079085E+13 -7.580804530E+18  9.643959482E+18 -3.778654276E+17 -1.383324763E+04  3.416971537E+04  3.756744292E+04  4.161423921E-10  2.126107605E-09  2.592055040E-09 -1.554968844E+53 -7.484354268E+53 -1.678171486E+53  1.759917629E+33  2.516582343E+21  3.846318013E+13
            65540  4.123623883E+13 -7.581880022E+18  9.645944671E+18 -3.758571211E+17 -1.344377461E+04  3.414352732E+04  3.765544910E+04  4.008141365E-09 -2.557447165E-09 -1.991855067E-09 -1.716825093E+53 -8.061393709E+53 -1.774465072E+53  1.899041526E+33  2.509088692E+21  3.846318013E+13
            65540  4.126371817E+13 -7.582408929E+18  9.646939225E+18 -3.748471996E+17 -1.348754144E+04  3.434079373E+04  3.789471694E+04  5.812832032E-10  2.370324384E-09  2.750129476E-09 -1.799705496E+53 -8.342265430E+53 -1.819143528E+53  1.965977918E+33  2.435880927E+21  3.846318013E+13
            65540  4.131859738E+13 -7.583659449E+18  9.648981526E+18 -3.728162556E+17 -1.322455127E+04  3.425754416E+04  3.795618799E+04  2.423086378E-09 -2.364693434E-09 -1.657773734E-09 -2.037179069E+53 -9.079020528E+53 -1.906146481E+53  2.102599913E+33  2.489503540E+21  3.846318013E+13
            65540  4.134727156E+13 -7.584341794E+18  9.650072887E+18 -3.717229274E+17 -1.322255599E+04  3.443202566E+04  3.814913908E+04  8.119430970E-10  2.593888685E-09  2.910849999E-09 -2.175850728E+53 -9.502137236E+53 -1.953324801E+53  2.173245346E+33  2.463729710E+21  3.846318013E+13
            65540  4.140265016E+13 -7.585613289E+18  9.652177579E+18 -3.696509883E+17 -1.314567759E+04  3.428991971E+04  3.820113796E+04  9.614462370E-10 -2.225015417E-09 -1.363666796E-09 -2.455742787E+53 -1.034439869E+54 -2.042082192E+53  2.308277979E+33  2.438354221E+21  3.846318013E+13
            65540  4.143061573E+13 -7.586220444E+18  9.653248280E+18 -3.685935050E+17 -1.315181892E+04  3.442863253E+04  3.839293428E+04  1.094398902E-09  2.794756199E-09  3.046217190E-09 -2.594319966E+53 -1.076167291E+54 -2.090610116E+53  2.374861404E+33  2.380907337E+21  3.846318013E+13
